% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ 164.82+0.032625i THz              ewfd.normE (V/m) @ 164.82+0.032625i THz
0                         4.6196171787029183E-8    2.3957506418144448E-8    -2981733.7042134358+34336.96796327488i            3636651.653211272
0                         4.6196171787029183E-8    3.9929177363574116E-8    -5060587.400799369+58194.33572863991i             5484388.15394391
0                         4.6196171787029183E-8    5.590084830900378E-8     -7133261.716379533+82018.9722379889i              7440103.386044568
0                         4.6196171787029183E-8    7.18725192544334E-8      -9202014.097626856+105793.70798670436i            9442115.49225534
0                         4.6196171787029183E-8    8.784419019986301E-8     -1.125762514210932E7+129363.25303486938i          1.1439422969340865E7
0                         4.6196171787029183E-8    1.0381586114529268E-7    -1.3388615793415282E7+153758.71935701015i         1.3500972093317702E7
0                         4.6196171787029183E-8    1.1978753209072235E-7    -1.5578838474362688E7+178750.615803457i           1.5663753267396238E7
0                         4.6196171787029183E-8    1.3575920303615201E-7    -1.7764157651113816E7+203674.9444795946i          1.782939779810115E7
0                         4.6196171787029183E-8    1.5173087398158168E-7    -1.99886592824321E7+228985.68747693827i           2.004379526277444E7
0                         4.6196171787029183E-8    1.6770254492701124E-7    -2.2249492403803848E7+254712.611867792i           2.2298395351405676E7
0                         4.6196171787029183E-8    1.836742158724409E-7     -2.4636135895885244E7+281710.2836974397i          2.4667883564171165E7
0                         4.6196171787029183E-8    1.9964588681787058E-7    -2.714081387627006E7+309988.19621529884i          2.715219421224683E7
0                         4.6196171787029183E-8    2.1561755776330025E-7    -2.9639087800242573E7+338174.9405012213i          2.964201442953603E7
0                         4.6196171787029183E-8    2.3158922870872991E-7    -3.2130957667802833E7+366270.5165552079i          3.2134566474839907E7
0                         4.6196171787029183E-8    2.475608996541595E-7     -3.461642347895076E7+394274.92437725747i          3.462787466121303E7
0                         4.6196171787029183E-8    2.6353257059958914E-7    -3.778827238185638E7+429615.3079484427i           3.781753892390785E7
0                         4.6196171787029183E-8    2.795042415450188E-7     -4.0912475135067664E7+464566.2585499932i          4.094110822504564E7
0                         4.6196171787029183E-8    2.954759124904485E-7     -4.41323158448585E7+500432.31353904575i           4.417020494992364E7
0                         4.6196171787029183E-8    3.1144758343587815E-7    -4.74981472782179E7+537939.9906090494i            4.756464682480397E7
0                         4.6196171787029183E-8    3.274192543813078E-7     -5.089756874691601E7+575791.4231358139i           5.100009527254724E7
0                         4.6196171787029183E-8    3.433909253267374E-7     -4.951288060214879E7+559144.09794178i             4.994572783386248E7
0                         4.6196171787029183E-8    3.5936259627216704E-7    -5.002788680034852E7+564362.0116859234i           5.024243179358708E7
0                         4.6196171787029183E-8    3.753342672175967E-7     -5.053275617067021E7+569717.5553420801i           5.057699023818731E7
0                         4.6196171787029183E-8    3.913059381630264E-7     -5.053549797149093E7+569586.9134014569i           5.054935990778775E7
0                         6.159489571603891E-8     -3.913059381630264E-7    4.8978835050959386E7-551960.9021229384i           4.9012008424569264E7
0                         6.159489571603891E-8     -3.753342672175967E-7    4.870756635300174E7-548915.7903585572i            4.875576570741441E7
0                         6.159489571603891E-8     -3.593625962721671E-7    4.885248188058622E7-551050.0703269228i            4.910422574282642E7
0                         6.159489571603891E-8     -3.4339092532673743E-7   4.8565020975133166E7-548341.4782603937i           4.917523248574824E7
0                         6.159489571603891E-8     -3.2741925438130776E-7   5.076215681856014E7-574144.3480621428i            5.096035712357214E7
0                         6.159489571603891E-8     -3.1144758343587815E-7   4.679041616709122E7-530181.9287019487i            4.6915582630063735E7
0                         6.159489571603891E-8     -2.954759124904485E-7    4.3791970638261385E7-496756.200753691i            4.387391184803807E7
0                         6.159489571603891E-8     -2.7950424154501886E-7   4.0865352497560225E7-464036.8428645057i           4.090930982664801E7
0                         6.159489571603891E-8     -2.635325705995892E-7    3.7933112818778925E7-431234.4531232444i           3.7950102500004545E7
0                         6.159489571603891E-8     -2.4756089965415953E-7   3.49952516019175E7-398349.03152990685i            3.499907271792502E7
0                         6.159489571603891E-8     -2.3158922870872991E-7   3.205176884697598E7-365380.57808449405i           3.2060025855909336E7
0                         6.159489571603891E-8     -2.1561755776330025E-7   2.9438410035150297E7-336039.39784288086i          2.9454633679466527E7
0                         6.159489571603891E-8     -1.996458868178706E-7    2.6874903018572778E7-307129.37528474384i          2.689180948563455E7
0                         6.159489571603891E-8     -1.8367421587244096E-7   2.430599571917446E7-278138.43320752535i           2.432515994273016E7
0                         6.159489571603891E-8     -1.677025449270113E-7    2.20873004529756E7-252908.41073262854i            2.2142594742658384E7
0                         6.159489571603891E-8     -1.5173087398158168E-7   1.974033278562232E7-226365.39464923384i           1.9811831879002675E7
0                         6.159489571603891E-8     -1.3575920303615201E-7   1.757719316282778E7-201666.3822255773i            1.769960518602741E7
0                         6.159489571603891E-8     -1.1978753209072235E-7   1.5300846182156857E7-175812.30332852778i          1.5520259083998874E7
0                         6.159489571603891E-8     -1.0381586114529273E-7   1.3236905937405664E7-152132.75251641127i          1.3492536095276413E7
0                         6.159489571603891E-8     -8.784419019986307E-8    1.1167734090823527E7-128385.27562036019i          1.1472798608748155E7
0                         6.159489571603891E-8     -7.187251925443345E-8    9093330.64241047-104569.87264037479i              9469582.671655437
0                         6.159489571603891E-8     -5.590084830900378E-8    7013695.592166473-80686.54357645489i              7500478.815178562
0                         6.159489571603891E-8     -3.9929177363574116E-8   5047678.866459447-57990.5630915165i               5854666.943500682
0                         6.159489571603891E-8     -2.39575064181445E-8     3038763.2645070152-34901.4842425119i              4353097.893062395
0                         6.159489571603891E-8     -7.985835472714834E-9    1013612.9323119442-11660.868063712796i            3190938.7153966194
0                         6.159489571603891E-8     7.985835472714834E-9     -1013186.1154972569+11630.26149492927i            3076051.371804826
0                         6.159489571603891E-8     2.3957506418144448E-8    -3006383.418471805+34610.63215681167i             4161019.005108807
0                         6.159489571603891E-8     3.9929177363574116E-8    -4995322.91928235+57547.0539959972i               5750844.878390814
0                         6.159489571603891E-8     5.590084830900378E-8     -7041833.2641904615+81045.09110786057i            7587086.207324782
0                         6.159489571603891E-8     7.18725192544334E-8      -9009008.345273342+103689.35988459465i            9482652.650778038
0                         6.159489571603891E-8     8.784419019986301E-8     -1.114298692158589E7+128146.09837536736i          1.1459505822993971E7
0                         6.159489571603891E-8     1.0381586114529268E-7    -1.327659786420903E7+152582.5868297656i           1.3490149408833496E7
0                         6.159489571603891E-8     1.1978753209072235E-7    -1.544264556647453E7+177322.3453208979i           1.5598447157792136E7
0                         6.159489571603891E-8     1.3575920303615201E-7    -1.7629123238077674E7+202259.74025887664i         1.7752493402866974E7
0                         6.159489571603891E-8     1.5173087398158168E-7    -1.9810697405484542E7+227129.5674265463i          1.990978905761323E7
0                         6.159489571603891E-8     1.6770254492701124E-7    -2.207795747376768E7+252825.16344450193i          2.2164743680494234E7
0                         6.159489571603891E-8     1.836742158724409E-7     -2.4594257710064746E7+281250.766797918i           2.4638217463494677E7
0                         6.159489571603891E-8     1.9964588681787058E-7    -2.710415388994952E7+309585.2019193977i           2.7122476643021796E7
0                         6.159489571603891E-8     2.1561755776330025E-7    -2.9607646013422027E7+337828.46880894137i         2.9613175764019314E7
0                         6.159489571603891E-8     2.3158922870872991E-7    -3.2104734080482244E7+365980.5674665485i          3.210731542776905E7
0                         6.159489571603891E-8     2.475608996541595E-7     -3.459541809113016E7+394041.497892219i            3.46027627166769E7
0                         6.159489571603891E-8     2.6353257059958914E-7    -3.756141024375019E7+427425.0412301494i           3.758847233004245E7
0                         6.159489571603891E-8     2.795042415450188E-7     -4.0386755259451345E7+458824.250532246i           4.043069445906319E7
0                         6.159489571603891E-8     2.954759124904485E-7     -4.385008491457074E7+497384.31810886285i          4.3921938162288755E7
0                         6.159489571603891E-8     3.1144758343587815E-7    -4.7410609027992964E7+537078.3222990689i          4.7522950001192115E7
0                         6.159489571603891E-8     3.274192543813078E-7     -5.1005930497247644E7+577127.1873499105i          5.116550687187183E7
