% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 14:34
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
0                         1.6530612244897957E-8    3.5458163265306127E-7    5503491.693271994+2680318.0028917305i             6245959.358694932
0                         1.6530612244897957E-8    3.72765306122449E-7      4624164.783900679+2640893.208536426i              5458520.953510822
0                         1.6530612244897957E-8    3.909489795918368E-7     3472483.28306585+2281283.322458968i               4335766.937685948
0                         1.6530612244897957E-8    4.091326530612245E-7     2403062.1532768365+1801547.9282274982i            3274408.7495502573
0                         1.6530612244897957E-8    4.273163265306122E-7     1116356.7680867296+539441.5095271801i             2318367.5133020044
0                         1.6530612244897957E-8    4.455E-7                 6453.56130419856+46988.75876627292i               2045789.2971605416
0                         3.3061224489795914E-8    -4.455E-7                -10006.784629196167-43322.02456828557i            3184321.0825310024
0                         3.3061224489795914E-8    -4.2731632653061225E-7   1148846.7684264448+679482.7014224667i             3307563.6365166823
0                         3.3061224489795914E-8    -4.091326530612245E-7    2376093.846006546+1649126.3632058804i             3894044.00700774
0                         3.3061224489795914E-8    -3.9094897959183674E-7   3458978.5381026287+2204441.455417903i             4899502.189039439
0                         3.3061224489795914E-8    -3.72765306122449E-7     4491757.969143007+2664058.4894665596i             5906774.935510509
0                         3.3061224489795914E-8    -3.545816326530612E-7    5474432.139127672+3027977.4653518465i             6873411.9038259685
0                         3.3061224489795914E-8    -3.3639795918367346E-7   6240088.125972398+2813147.112488343i              7208081.325923888
0                         3.3061224489795914E-8    -3.1821428571428575E-7   6991292.49722177+2663445.796193124i               7851780.574279448
0                         3.3061224489795914E-8    -3.0003061224489794E-7   7549714.795123945+2210703.8070931328i             8032181.672591326
0                         3.3061224489795914E-8    -2.8184693877551024E-7   7746893.357721428+1238164.2611373083i             8030263.332442911
0                         3.3061224489795914E-8    -2.636632653061224E-7    7804111.251276122+222288.85721779894i             8015667.734682719
0                         3.3061224489795914E-8    -2.454795918367347E-7    7582609.069398785-1224582.8991944047i             7834855.685679553
0                         3.3061224489795914E-8    -2.2729591836734696E-7   6946390.565239735-2588092.7583653373i             7472315.019209956
0                         3.3061224489795914E-8    -2.091122448979592E-7    6169021.723354688-3786391.7914422685i             7573968.948198669
0                         3.3061224489795914E-8    -1.9092857142857144E-7   5658007.344565202-4404436.230425446i              7357585.427487074
0                         3.3061224489795914E-8    -1.7274489795918368E-7   5233296.355567333-5156208.218423605i              7490658.997123547
0                         3.3061224489795914E-8    -1.5456122448979592E-7   4880825.566795077-5806057.275474098i              7693022.045732797
0                         3.3061224489795914E-8    -1.3637755102040816E-7   4497092.181080327-6291871.828579308i              7816724.236926513
0                         3.3061224489795914E-8    -1.181938775510204E-7    4153889.021106817-6738447.372043709i              7983887.8835815005
0                         3.3061224489795914E-8    -1.0001020408163265E-7   3884754.7128768894-7106785.446298757i             8154174.098970375
0                         3.3061224489795914E-8    -8.182653061224489E-8    3689689.2563905483-7396886.051344463i             8309809.410859115
0                         3.3061224489795914E-8    -6.364285714285713E-8    3567310.8539722143-7779148.095961495i             8578282.106793297
0                         3.3061224489795914E-8    -4.545918367346937E-8    3496697.0444896133-8006767.60755264i              8741934.998953074
0                         3.3061224489795914E-8    -2.7275510204081612E-8   3391044.5100174127-8208322.4176362i               8883832.84879287
