% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 15:01
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.6E-11                    ewfd.normE (V/m) @ lambda=1.6E-11
0                         1.652288477341889E-8     8.18676125718158E-8      -1301667.8434862108-183478.31768841835i           1400698.2680056584
0                         1.652288477341889E-8     1.0006041536555261E-7    -1283156.7479503825-482929.9878335108i            1455171.9958857954
0                         1.652288477341889E-8     1.1825321815928954E-7    -1288954.6320116334-827990.5447054573i            1609329.8932723328
0                         1.652288477341889E-8     1.3644602095302636E-7    -1319061.4956699652-1218659.9883042534i           1863995.6417032972
0                         1.652288477341889E-8     1.5463882374676318E-7    -1373477.3389253756-1654938.3186299012i           2209623.468274163
0                         1.652288477341889E-8     1.728316265405001E-7     -1452202.1617778675-2136825.535682404i            2634603.734642662
0                         1.652288477341889E-8     1.9102442933423692E-7    -802938.5914222382-2863739.278535531i             3321993.1653582887
0                         1.652288477341889E-8     2.0921723212797374E-7    -717966.2515910525-3598354.3552955617i            4103788.507067671
0                         1.652288477341889E-8     2.2741003492171056E-7    -840106.3607418957-4290462.809895147i             4387727.179921883
0                         1.652288477341889E-8     2.456028377154475E-7     -1178805.575394172-4962888.1712214155i            5139847.156847307
0                         1.652288477341889E-8     2.637956405091843E-7     -1183360.1833145889-5224888.987007702i            5391714.085585415
0                         1.652288477341889E-8     2.819884433029211E-7     -1189565.8464620106-5362751.483286683i            5524879.151926145
0                         1.652288477341889E-8     3.0018124609665805E-7    -1197422.5648364355-5376475.660058362i            5538639.972728308
0                         1.652288477341889E-8     3.1837404889039487E-7    -1206930.3384378643-5266061.517322734i            5432970.250871659
0                         1.652288477341889E-8     3.365668516841317E-7     -1139646.423188959-4962577.13994948i              5194297.973993415
0                         1.652288477341889E-8     3.547596544778685E-7     -994332.7137979912-4382922.986562716i             4601413.431428553
0                         1.652288477341889E-8     3.7295245727160544E-7    -770021.5035964112-3676401.2836159985i            3872936.151606397
0                         1.652288477341889E-8     3.9114526006534226E-7    -549959.4850180299-2818395.3808748843i            3009815.129947791
0                         1.652288477341889E-8     4.093380628590791E-7     -334141.20369800675-1890180.7854133176i           2105373.2019580966
0                         1.652288477341889E-8     4.27530865652816E-7      -122566.65963634024-891757.4972312924i            1230152.688320029
0                         1.652288477341889E-8     4.457236684465528E-7     84764.1471669674+176874.48367118096i              852426.7009025201
0                         3.304576954683778E-8     -4.457236684465528E-7    -87727.29722634211-172112.96604640494i            1629002.4403720398
