% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ 8.8015 GHz                                w (m) @ 8.8015 GHz
0                         3.0797447858019456E-8    3.9929177363574116E-8    NaN                                               NaN
0                         3.0797447858019456E-8    5.590084830900378E-8     NaN                                               NaN
0                         3.0797447858019456E-8    7.18725192544334E-8      NaN                                               NaN
0                         3.0797447858019456E-8    8.784419019986301E-8     NaN                                               NaN
0                         3.0797447858019456E-8    1.0381586114529268E-7    NaN                                               NaN
0                         3.0797447858019456E-8    1.1978753209072235E-7    NaN                                               NaN
0                         3.0797447858019456E-8    1.3575920303615201E-7    NaN                                               NaN
0                         3.0797447858019456E-8    1.5173087398158168E-7    NaN                                               NaN
0                         3.0797447858019456E-8    1.6770254492701124E-7    NaN                                               NaN
0                         3.0797447858019456E-8    1.836742158724409E-7     NaN                                               NaN
0                         3.0797447858019456E-8    1.9964588681787058E-7    NaN                                               NaN
0                         3.0797447858019456E-8    2.1561755776330025E-7    NaN                                               NaN
0                         3.0797447858019456E-8    2.3158922870872991E-7    NaN                                               NaN
0                         3.0797447858019456E-8    2.475608996541595E-7     NaN                                               NaN
0                         3.0797447858019456E-8    2.6353257059958914E-7    NaN                                               NaN
0                         3.0797447858019456E-8    2.795042415450188E-7     NaN                                               NaN
0                         3.0797447858019456E-8    2.954759124904485E-7     NaN                                               NaN
0                         3.0797447858019456E-8    3.1144758343587815E-7    NaN                                               NaN
0                         3.0797447858019456E-8    3.274192543813078E-7     NaN                                               NaN
0                         3.0797447858019456E-8    3.433909253267374E-7     2.0057467368055147E-14                            1.316561153989941E-13
0                         3.0797447858019456E-8    3.5936259627216704E-7    1.0664192761937895E-14                            1.3171513567164273E-13
0                         3.0797447858019456E-8    3.753342672175967E-7     4.068472157523359E-15                             1.3140353821836324E-13
0                         3.0797447858019456E-8    3.913059381630264E-7     1.4562898950131706E-16                            1.312393238478139E-13
0                         4.6196171787029183E-8    -3.913059381630264E-7    -2.7005347151169685E-16                           -1.4206430450217278E-13
0                         4.6196171787029183E-8    -3.753342672175967E-7    6.801166485712022E-15                             -1.4193996833389158E-13
0                         4.6196171787029183E-8    -3.593625962721671E-7    1.6380668427590838E-14                            -1.422583856447399E-13
0                         4.6196171787029183E-8    -3.4339092532673743E-7   2.565825349597267E-14                             -1.4167311552157506E-13
0                         4.6196171787029183E-8    -3.2741925438130776E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -3.1144758343587815E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -2.954759124904485E-7    NaN                                               NaN
0                         4.6196171787029183E-8    -2.7950424154501886E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -2.635325705995892E-7    NaN                                               NaN
0                         4.6196171787029183E-8    -2.4756089965415953E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -2.3158922870872991E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -2.1561755776330025E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -1.996458868178706E-7    NaN                                               NaN
0                         4.6196171787029183E-8    -1.8367421587244096E-7   NaN                                               NaN
0                         4.6196171787029183E-8    -1.677025449270113E-7    NaN                                               NaN
