% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:03
% Dimension:          3
% Nodes:              357
% Expressions:        1
% Description:        Electric field, y-component
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=4E-12
3.3087224502121107E-24    4.0499999999999993E-7    2.320617872425941E-7     6785625.389496669+3925699.146452863i
-3.3087224502121107E-24   4.05E-7                  2.735652982785125E-7     5592216.020881577+3343418.233749497i
-6.6174449004242214E-24   7.191603727256436E-7     1.8384425702366384E-7    4389057.8031158205+1320418.3260244206i
0                         6.566401525351968E-7     1.3140755295295209E-7    5477105.771081008+2038198.68623184i
0                         7.551942082376031E-7     7.367322629255253E-8     5035472.123028646+1212353.7680316097i
0                         8.291194103648033E-7     1.9104739296724595E-7    3802486.2917819144+546345.375927278i
0                         1.0306257635680043E-6    1.074706301271778E-7     2860319.8829567228-893426.5276562313i
-1.6543612251060553E-24   8.609381620105912E-7     2.047652995090036E-7     3356067.8878038884+294702.8110269354i
1.3234889800848443E-23    9.69082694158509E-7      2.6920211458902713E-7    2000985.91321875-345199.93705383287i
0                         1.2149999999999998E-6    4.4549999999999996E-7    -160713.96575255337-130850.39215523924i
1.6543612251060553E-24    5.323948620927943E-7     3.1268441278780743E-7    3402530.745238416+1724552.9499418964i
0                         9.846450483303935E-7     -4.525712638325865E-8    3348265.63339094-626964.5707594873i
0                         1.031894368243839E-6     1.0149810101139119E-7    2895243.2599186157-931198.4841741758i
1.6543612251060553E-24    8.592174677283653E-7     1.909730770230408E-7     3594064.375104864+412079.83684492507i
-6.6174449004242214E-24   8.439525938464243E-7     2.3246472173978106E-8    4661813.408524328+472047.15074331267i
-6.6174449004242214E-24   9.213280352766648E-7     -7.711784241910473E-8    3776788.0729672736-98489.57824129098i
0                         7.964552461523533E-7     -2.8655837292582008E-9   4940426.1428847+944925.193833118i
1.6543612251060553E-24    8.471326139072493E-7     1.8368893397569237E-7    3728240.120108225+452126.6817647736i
6.6174449004242214E-24    7.316898440905242E-7     -1.1522262200644509E-8   5532254.801939013+1451867.2589895483i
-3.3087224502121107E-24   6.217165401723967E-7     8.360856823412926E-8     5867348.925454946+2298282.0282985754i
0                         5.980928446312825E-7     -3.2447306999714584E-8   6373396.560042639+2615264.184699017i
0                         4.6038585260233153E-7    2.1063438057859217E-7    6421666.304543285+3507634.9126348i
-3.3087224502121107E-24   5.788830881781477E-7     1.5849592862598437E-7    6028780.191211512+2559719.2135716183i
3.3087224502121107E-24    5.081361512864311E-7     2.0812796802163802E-7    6058864.191363513+2949851.0199102573i
3.3087224502121107E-24    5.073661121690562E-7     1.7288797809411122E-7    6430687.775625814+3147846.7609299794i
3.3087224502121107E-24    5.68932418264637E-7      9.220206261200483E-8     6790489.829601975+2901573.50638844i
-3.3087224502121107E-24   4.978714350483425E-7     6.693244510335123E-8     7608856.501471828+3598412.0418398497i
3.3087224502121107E-24    5.322166986747205E-7     2.8971997978770405E-8    7554899.148257+3332620.3886200218i
3.3087224502121107E-24    4.873340538782457E-7     3.503827684482583E-8     7620841.735072618+3716166.0834309543i
-3.3087224502121107E-24   4.5796924466501724E-7    5.133081335852132E-8     8044306.161935113+3988613.3309331667i
0                         4.05E-7                  3.3660671764184514E-7    3638681.591205571+2379480.516989052i
-3.3087224502121107E-24   4.0499999999999993E-7    3.599381553071932E-7     3013244.076039018+1851047.8478892127i
0                         5.895251087508247E-7     4.455E-7                 -14594.67347066934-10778.020613102453i
3.3087224502121107E-24    5.326174360744306E-7     4.455E-7                 61177.14461322246-45386.43591016971i
-1.6543612251060553E-24   4.98804510473703E-7      4.2666430989725295E-7    450638.4656383145+312684.9368327832i
0                         4.406983669550134E-7     4.4549999999999996E-7    -11661.960173808016-5405.243497713572i
8.271806125530277E-25     4.0499999999999993E-7    4.2501238309926197E-7    800252.8513265173+418454.3658572403i
-6.6174449004242214E-24   1.5220354472666537E-7    8.983143980595564E-8     -4553738.815832709-256391.8467256973i
0                         4.4742000386481485E-8    7.651235828203531E-8     -5836687.268466158-792226.2709394895i
0                         1.5647318959968855E-7    2.5614712007988648E-8    -4234572.895679147-134303.21073396553i
-3.3087224502121107E-24   0                        8.104465163018918E-8     -5972071.656291361-926992.9089827487i
-3.3087224502121107E-24   1.262747717110734E-7     -3.804720076852329E-9    -4682854.582677943-314791.08229135734i
-6.6174449004242214E-24   0                        -6.174187176468793E-8    -5581710.247536863-829668.1287157129i
0                         0                        3.595848397815377E-8     -5703374.007842563-839807.3852211331i
0                         1.6125065480234575E-7    5.259751802102495E-9     -3903945.2767792023-4034.926648376262i
-1.3234889800848443E-23   6.486507101039389E-7     2.9033332083798283E-7    3359291.2220030846+1280993.7407077446i
-6.6174449004242214E-24   6.004299605272005E-7     2.913854910253725E-7     3495102.9007215886+1498087.5552760432i
3.3087224502121107E-24    6.620545807397854E-7     3.8896320905328457E-7    1381294.43336072+554710.5915345594i
-1.6543612251060553E-24   8.17518784022675E-7      2.109700810139343E-7     3586802.102651035+654523.4734759964i
3.3087224502121107E-24    5.587293487059081E-7     2.464395181103522E-7     4592074.003831277+2202177.0831641736i
3.3087224502121107E-24    6.239825438841986E-7     1.7597682247649222E-7    5060946.923771699+2011032.9433979911i
0                         6.173483705550245E-7     1.1782124918134718E-7    5857144.9973698445+2295069.5247054873i
0                         8.484967532180724E-7     2.0097995079794593E-7    3537002.2900524316+390281.4688009891i
-3.3087224502121107E-24   7.076888590887493E-7     4.1399052626569223E-7    620002.0773324977+216599.0914109324i
-6.6174449004242214E-24   9.416133751560109E-7     3.344897466239036E-7     1176037.6872974434-267962.8228518129i
3.3087224502121107E-24    7.253368457684986E-7     4.454999999999999E-7     40264.38299811835+73826.38486701736i
1.3234889800848443E-23    8.981523529578602E-7     4.454999999999999E-7     -58917.18270422987-25406.886282440122i
0                         8.529939627817213E-7     2.1376682197985615E-7    3296868.887250525+310242.66016991035i
0                         6.721607233116907E-7     4.454999999999999E-7     103476.5153393253+46173.60247378523i
1.6543612251060553E-24    4.05E-7                  4.454999999999999E-7     31551.731520839938-963.3973442425881i
-6.6174449004242214E-24   2.842388511482013E-7     -1.143672847943301E-7    1155181.8170665673+1134788.9893028939i
0                         3.2723864918696265E-7    -1.1618389509387602E-7   734397.45235983+920878.9133392941i
8.271806125530277E-25     3.1734974094425616E-7    -6.47178657302182E-8     814506.5542023364+585222.9926086203i
0                         2.9589792924300793E-7    -1.6529353632223291E-7   886477.9108000506+1274273.945421543i
0                         3.2848136844983233E-7    -1.4549972275350203E-7   767854.477440432+1088981.7564242124i
-3.3087224502121107E-24   3.7267757677020274E-7    2.822401991966959E-9     1470444.758384484+727991.815941327i
-3.3087224502121107E-24   3.3399999999999995E-7    2.3237673013821025E-23   190127.3753666702+333068.24602985976i
0                         3.2456485463078355E-7    -4.6565295574875403E-8   385460.61903409834+501563.5034386625i
0                         3.372072708007166E-7     -4.565449056299681E-8    777487.5263440794+610413.7568138543i
0                         4.0500000000000004E-7    2.5071177408604445E-8    1516898.7559268395+759292.6850705881i
0                         3.3527326626917976E-7    4.844029866167916E-8     657037.0719322865+557190.7668437603i
0                         3.244222491082903E-7     4.763785119570128E-8     419992.0271544632+516517.52823498205i
3.3087224502121107E-24    4.0500000000000004E-7    -1.6658777789044055E-8   1487896.9094420746+758776.3411101048i
