% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    62367.51962960074-291423.47232308285i             8595810.976050325
1.6543612251060553E-24    3.349284580711162E-7     -4.838043261769996E-8    303598.60585668095-430939.3355679157i             6823473.950063651
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   182955.0021751715-407387.29512709373i             6395171.776445296
0                         3.2584904163317056E-7    5.4761703028297576E-8    258985.88515002327-461106.81555061426i            6813704.705133877
0                         3.24970696555981E-7      5.0869258428683064E-8    232076.7860808693-461022.486416415i               6628700.7917366205
0                         3.221038368927431E-7     5.584714369209338E-8     366300.41487396666-547144.3059097952i             6690827.869449572
0                         3.905486564586962E-7     1.5070927513429238E-7    468840.84833919944-708775.671311076i              7847263.223575014
-1.6543612251060553E-24   3.695278543888481E-7     1.425007216743512E-7     743529.8249126653-1009229.3848618377i             7568341.243352588
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     928192.0016308349-1269987.00614722i               7039707.149059408
0                         4.0481067694876277E-7    5.720766611629198E-8     173169.8649379822-524715.5591642205i              8460262.033011936
-8.271806125530277E-25    3.3156828818064024E-7    5.3161048325825355E-8    374771.65021448955-555442.089687281i              6870874.175200276
-3.3087224502121107E-24   3.538787295229262E-7     -1.2398315886083805E-7   961492.3384067025-1614594.0063050361i             7790259.254614373
0                         4.0481067694876277E-7    -1.2247503680099905E-7   248751.02659637993-354686.141031758i              8029312.352897449
8.271806125530277E-25     3.3638825816599775E-7    -6.395905135374167E-8    315942.8201291856-453122.35532435495i             6922230.8587421775
0                         3.182396563385692E-7     -6.343381124083152E-8    557418.1376931192-919253.1570445293i              6696002.793452549
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    1046110.8076233404-1309939.0097488347i            7242726.256658298
-3.3087224502121107E-24   3.015852552501473E-7     -1.6685527697298306E-7   1396190.3941955026-1203092.8134954371i            8712488.06730838
0                         3.232695709983424E-7     -5.53045889386516E-8     248751.08547878035-603216.0054616185i             6605525.406832934
-3.3087224502121107E-24   2.623301555560212E-7     -1.838422404158222E-7    2747566.6960241594-1658996.074284876i             9192645.828671644
0                         2.1845653395423077E-7    -1.6518554386307116E-7   3043757.3920220905-2078888.4751245726i            8431720.618847666
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   2699997.5926803797-1975762.1521260892i            8041553.73724355
-3.3087224502121107E-24   3.0650930569558767E-7    -2.1794848318051102E-7   1462266.3281105168-707388.9129737762i             9977109.789795328
