% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              886
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ lambda=4E-9                               w (m) @ lambda=4E-9
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    NaN                                               NaN
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   NaN                                               NaN
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   NaN                                               NaN
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   NaN                                               NaN
3.3087224502121107E-24    4.962314594314798E-7     -4.457236684465527E-7    NaN                                               NaN
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    NaN                                               NaN
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    NaN                                               NaN
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   NaN                                               NaN
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    NaN                                               NaN
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   NaN                                               NaN
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   NaN                                               NaN
3.3087224502121107E-24    4.0481067694876277E-7    -4.457236684465527E-7    NaN                                               NaN
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    NaN                                               NaN
3.3087224502121107E-24    7.584990733679616E-7     -3.525345509788203E-7    NaN                                               NaN
1.6543612251060553E-24    6.455923658273635E-7     -2.9779599197226205E-7   NaN                                               NaN
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    NaN                                               NaN
0                         7.115433440389336E-7     -4.4572366844655277E-7   NaN                                               NaN
3.3087224502121107E-24    7.584990733679616E-7     -3.525345509788203E-7    NaN                                               NaN
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    NaN                                               NaN
3.3087224502121107E-24    4.962314594314798E-7     -4.457236684465527E-7    NaN                                               NaN
0                         6.13672952558064E-7      -4.457236684465528E-7    NaN                                               NaN
0                         5.835703006909465E-7     -3.9683597509188217E-7   NaN                                               NaN
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   NaN                                               NaN
1.6543612251060553E-24    6.455923658273635E-7     -2.9779599197226205E-7   NaN                                               NaN
0                         5.835703006909465E-7     -3.9683597509188217E-7   NaN                                               NaN
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    NaN                                               NaN
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    NaN                                               NaN
0                         6.13672952558064E-7      -4.457236684465528E-7    NaN                                               NaN
0                         5.835703006909465E-7     -3.9683597509188217E-7   NaN                                               NaN
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    NaN                                               NaN
0                         4.872041077290517E-7     5.2308274107395806E-8    NaN                                               NaN
0                         4.0481067694876277E-7    2.3721473678056144E-8    NaN                                               NaN
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   NaN                                               NaN
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   NaN                                               NaN
0                         4.997136481438985E-7     -5.4578163674120465E-8   NaN                                               NaN
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    NaN                                               NaN
0                         4.0481067694876277E-7    1.360940974810027E-7     NaN                                               NaN
0                         4.0481067694876277E-7    5.720766611629198E-8     NaN                                               NaN
0                         4.862892861970411E-7     7.59710070016916E-8      NaN                                               NaN
0                         4.872041077290517E-7     5.2308274107395806E-8    NaN                                               NaN
0                         4.862892861970411E-7     7.59710070016916E-8      NaN                                               NaN
0                         4.0481067694876277E-7    5.720766611629198E-8     NaN                                               NaN
0                         4.0481067694876277E-7    2.3721473678056144E-8    NaN                                               NaN
